Dao_title,categories,about,blockchain,followers
reverse protocol dao,"['other', 'other', 'other', 'other']","DeFi 2.0 protocol generating passive income for $RVRS stakers through a community governed treasury — profits out paid weekly.
",,0.0
alkemi network dao,['DeFi'],"Bridging CeFi to DeFi on Ethereum . Building a network for everyone to participate in Decentralized Finance.
",Ethereum,11000.0
instadapp dao,"['DAO Tools', 'DeFi']","DeFi Management
",Polygon,42800.0
governor dao,"['DAO Tools', 'other']","Governor DAO offers DAO governance bootstrapping tools and tutoring, and a biometric Proof-of-Humanity membership registration to facilitate 1person-1vote systems.
 Governor DAO is a Wyoming-based Decentralized Autonomous Organization positioned as the “DAO of DAOs”. Governors offer a suite of products and services for projects looking to build DAO qualities in their communities. Our offerings include an industry-first Sybil-resistance product for one-voice-one-vote governance and as governance bootstraps for new communities, consultations, and smart contract porting.
",Ethereum,10300.0
footium dao,"['other', 'other', 'other', 'other']","Footium is a Web3 Football Management game that allows players to become the owner, manager and scout for their very own football club.
",,0.0
metagame dao,['Social'],"A massive online coordination game about to redefine the way we play life
",Ethereum,8800.0
drift protocol dao,"['DeFi', 'Protocol']","Decentralized exchange for perpetual futures built on Solana
",Solana,51900.0
kong land dao,"['DeFi', 'Protocol', 'Media', 'Social']","Crypto state governed by its citizens and composed of a collective of DAOs with the common goal of exporting physical cryptoassets to make crypto ubiquitous
",Binance,3500.0
angeldao,"['Investment', 'other', 'Protocol']","Distributed systems investment collective VentureDAO
",Ethereum,3200.0
pandapunknft dao,"['other', 'other', 'other', 'other']","The official PandaPunkNFT with a collection of 1000 unique Panda on BSC.
",,0.0
meter dao,['DAO Tools'],"A high performance infrastructure that allows smart contracts to scale and travel seamlessly through heterogeneous blockchain networks
",Ethereum,31000.0
liquidity network dao,"['DAO Tools', 'DeFi']","Blockchain based payment hub platform offering zero gas-fee transactions
",Ethereum,5900.0
starkware dao,['DAO Tools'],"Creating solutions to solve the privacy issues inherent in today’s permissionless blockchains while increasing transaction speed
",Ethereum,194900.0
kycdao,"['other', 'DAO Tools']","A multichain platform for issuing reusable, onchain KYC verifications
 Trustless verification of identity in web3 is a complex task complicated by an ever-changing legal and regulatory landscape and a dizzying array of one-off “verification” service providers that are often unreliable.
How can we solve this ?
kycDAO is here to help. Onchain KYC NFTs, which are issued to each of our verified community members as nontransferable tokens, serve as a unified approach for the web3 community to interact with a variety of protocols and dApps.
We are creating a shared bridge of on-chain proofs that enable the web3 service providers to deliver products to verified users
",,0.0
mxc dao,['other'],"The Largest Web3 IoT Metaverse
** Submit proposal with 2 million MXC**
** Related topics can only be discussed 2 times/6 months frame**
** Anyone can vote **
 The MXC Foundation is the steward of the MXProtocol and the MXC token. Together, we are building a global data network that allows the devices of tomorrow to connect, commit and communicate more efficiently than ever before.
",Ethereum,8600.0
multiplier dao,['DeFi'],"Multiplier is a non-custodial lending protocol on Binance Smart Chain with flash loans
 Multiplier V2 is a non-custodial lending protocol on Binance Smart Chain which allows depositers to earn lending yield, and borrowers to borrow in a collateralised or un-collateralised way (flash-loans). The protocol designs are architected and forked based on Aave V2, introducing a range of new features previously not available in V1.
",Binance,5700.0
layer3 dao,['Social'],"Allows users to earn crypto by contributing to a DAO community
",Ethereum,136100.0
ascension dao,['DeFi'],"Ascension Protocol is a Decentralized Autonomous Organization (DAO) dedicated to providing DeFi tools and opportunities for its constituents
",,0.0
mimo dao,['other'],"Mimo provide a decentralised and multichain EURO stablecoin
",,0.0
sipher nexus dao,"['other', 'other', 'other', 'other']","Sipher is an interstellar sci-fi fantasy odyssey with high-octane looter shooter gameplay and infinite replayability.
",,0.0
taka labs  dao,['Protocol'],"Our mission is make the crypto market accessible, open, safe, and fair for all to use.
 The Taka Labs team consists of experienced, talented, and passionate people who wish to add value to the fully decentralized network.
Founded by open-source decentralization enthusiasts, the team has grown to include a broad spectrum of abilities and perspectives. There is a shared ethos to achieve goals as set out in the roadmap.
We’re members, traders, developers, Investors!
",,0.0
crypto hobos dao,"['other', 'other', 'other', 'other']","The most insane NFT collection ever! All traits are hand-drawn on paper with oil and colors, then scanned. 8000 NFTS are made from a combination of more than 200 traits, hand-drawn in a very specific technique.
",,0.0
audacity fund dao,"['Venture Capital', 'Social', 'Investment']","A crypto VC fund investing in Black/African led crypto startups targeting trillion dollar markets worldwide
",Ethereum,1700.0
mars project dao,['DeFi'],"Mars is the first Ethereum-based, decentralized standardized hashrate protocol.
 Mars is the first Ethereum-based, decentralized standardized hashrate protocol. Mars Project combines standardized hashrate product and liquidity mining together, packing PoW mining into an on-chain protocol. It provides a consistent PoW mining output which could be acutely calculated in the very beginning, offering an edge for users on mining stability. No more complicated variables on daily mining from now on. On the other hand, MARS would be distributed to users in this project. Earning reward from staking and liquidity providing (LP), shorten the distance of DeFi to Bitcoin community.
",Ethereum,0.0
fei dao,['DeFi'],"Fei is a stablecoin protocol with inbuilt balancing properties such as minting upon demand, peg incentives, strong protocol control over collaterals, and proactive rebalancing.
",Ethereum,81300.0
pacoca dao,['DeFi'],"A sweet portfolio manager where users can track their DeFi assets, invest in smart vaults with compounding yields, and trade tokens at the best rates using the decentralized exchange aggregator
",Binance,42300.0
rarebunniclub dao,"['other', 'other', 'other', 'other']","S1 Sold Out - PixelBuns (Free Mint) - S2 wen? by  @bunnizer0
",,0.0
harmony creative dao,"['other', 'other', 'other']","We create and commission content to promote the Harmony protocol, Harmony communities, and the people that call Harmony home.
",,0.0
harmony community dao,"['other', 'other', 'other', 'other']","Harmony is an open and fast blockchain. Get Connected to our Multi-Chain World.
",,0.0
vital point ai dao,"['other', 'other', 'other', 'other']","Open-source governance and decision support solutions that innovate on blockchain, mixed reality, and data.
 The internet is undergoing reinvention.  Self-sovereign identity, data protection, decentralization, encrypted communications are some of the pillars on which it’s being built.
Blockchain, data science (including machine learning and artificial intelligence), and mixed reality are manufacturing this new world. They enable us to augment intuition - helping make faster/better decisions, are catalysts for the emergence of new forms of efficient organizations, and expand the boundaries of the world in which we interact and communicate.
It’s the open web - where individuals control data, middlemen and bureaucracy are eliminated, and censorship becomes a thing of the past.
The future is coming.  Help us build it.
",,0.0
zapper  dao,['DAO Tools'],"Asset management platform for decentralized finance
",,0.0
rari capital dao,['DeFi'],"Powerful open interest rate protocol built on the Ethereum blockchain
",Ethereum,56700.0
whale dao,"['Social', 'Media']","Exclusive, self-governed community where crypto & non-crypto affluents gain access to unforgettable experiences, epic projects, & limitless profitability
",Ethereum,41300.0
aventus network dao,"['other', 'other', 'other', 'other']","We are the enterprise-grade blockchain!
 Take your business to the next level with our user-friendly, interoperable blockchain, which includes all necessary value-added services built around the Aventus Network with full Ethereum and Polkadot interoperability.
",,0.0
synapse protocol dao,"['DAO Tools', 'Protocol']","A cross-chain layer protocol powering frictionless interoperability between blockchains
",Ethereum,69200.0
baby wealthy club dao,"['Collector', 'Social']","A collection of 10,000 born rich babies
 Baby Wealthy Club is a brand created by a talented designer originally from BabySwap. After all the hard work and being recognized by the communities, she believes that her artifact can be more popular worldwide and not limited to the crypto world. To realize the bigger dream of her own, she has talked to the original team and showed the ambition and passion of starting her own NFT collection. The team stands by the decision, and provides support to the Baby Wealthy Club PFP holders. The artist and the BabySwap team share the same commercial rights of the use of Baby Avatar as agreed.
",,0.0
rchain dao,"['DeFi', 'Investment']","RDAO is a decentralized governance platform token made for the RChain community
 We will work on exploring more and more ways to play with DAO and will have more and more complete tools. RDAO should be like a chameleon with the best environmental adaptability and always the most agile response to the situation at hand. We will always learn from history as lessons to keep learning and growing, and put the right tools in the right places. We promise to always listen to the valuable opinions of all people, and we promise to always provide equal opportunities for all. Welcome to the RDAO family!
",,0.0
k.group dao,"['Social Impact', 'Investment']","Our mission is to help solve the affordable housing crisis by converting residential properties into Shared Living Spaces.
 K.Group DAO Raises funds to acquire single-family properties. We then convert these properties by adding additional rooms and bathrooms per code allowed. The standard conversion is renovating a three bedroom to an eight bedroom, but can also go up to 12 bedrooms. The rooms are then rented out to low-income tenants, which not only allows them better housing, but it gives them a chance to become financially stable.  The rents per room ranges between $600-$900 per month fully furnished, with all utilities and internet included. This means an 8 bedroom property could generate between $4800-$7200 per month of cashflow for the DAO, while also providing an instant solution to those waiting for housing.
",,0.0
metacartel dao,"['other', 'other', 'other']","MetaCartel is a ecosystem of creators and operators building decentralized applications (DApps)
 Dedicated to building and connecting the application layer community of crypto
Since late 2018, we have grown an active community of over 800+ builders and held over 30+ meetups all the world and holds an active presence at most major Ethereum developer events.
🌊 Helping early teams get to the next level with grant funding and operational support
Since the July of 2019, we have deployed over $90,000 USD in grant funding and support to over 23 DApps in finding initial customers and pilot opportunities.
",,0.0
request  dao,"['DAO Tools', 'DeFi']","Ethereum-based decentralized payment system
",Ethereum,66700.0
thugdao,['Collector'],"A collection of 3,333 uniquely generated, tough and collectible thugbirdz.
",Solana,16300.0
nft oasis  dao,"['Social', 'Metaverse', 'Protocol']","Immersive VR experience for the NFT community
",Ethereum,3200.0
aperocket dao,['DeFi'],"Ape Rocket is the new deflationary token on the Binance Smart Chain
",Binance,12100.0
lootmetaversedao,['Metaverse'],"Building an ever-expanding Loot Metaverse
",Ethereum,1800.0
yam dao,"['DeFi', 'Grant']","Only delegated YAM may be used to vote on proposals. You can delegate to yourself or another address here: yam.finance/#/delegate
",,0.0
cthulhu armageddon 2022 dao,"['other', 'other', 'other', 'other']","Cthulhu Armageddon 2022 is a community driven NFT RPG. Save or Sacrifice?
",,0.0
cryptex dao,['Protocol'],"The Protocol Powering The World’s First Total Crypto Market Cap Token, TCAP.
 Cryptex is a crypto token pegged to the total market cap of all crypto tokens and coins as sourced by its oracles. Its user-pooled collaterals farm yield while pegging. Currently in Beta.
",Ethereum,14000.0
paragons dao,"['other', 'other']","An economic and social partner-DAO promising blockchain-powered gaming ecosystems.
",,0.0
kernel dao,['Social'],"Peer-to-peer learning community dedicated to the journey towards a better understanding of truth: in our work, in our relationships with others, and in our inner worlds
",Ethereum,13900.0
own.fund dao,"['DAO Tools', 'Investment']","Own.fund is a collectively-managed investment vehicle aiming to facilitate community-token DAOs. Set to become an incubator & main resource for Web3 BUIDLerss, its KYC membership includes prominent investment, DeFi, gaming and other ecosystem play…
",Ethereum,0.0
cabindao,"['Media', 'Social', 'Metaverse']","Community of cabins for web3 workers; a DAO retreat & residency program; an experiment in decentralized cities
",Ethereum,14800.0
token engineering commons dao,"['Protocol', 'Social']","An open source and collectively governed project that aims to create a token economy to accelerate the Token Engineering field through responsible & ethical creation of public goods for the TE community
",Binance,5100.0
spookyswap dao,['DeFi'],"An automated market-making (AMM) decentralized exchange (DEX) for the Fantom Opera network
",Ethereum,130699.99999999999
venus dao,['DeFi'],"Earn, Borrow, & Lend on the #1 Decentralized Money Market on  @BNBChain
",,0.0
offchain labs dao,['DAO Tools'],"Make smart contracts easier to develop at massive scale, with production level security
",Ethereum,271300.0
hdao,"['DeFi', 'DAO Tools']","Governance token for the extremely popular NFT marketplace, Hic et nunc
",Bitcoin,3200.0
miami tech runs dao,['other'],"Building the ultimate playground at the intersection of sports, crypto, and culture.
 
Tech Runs is a global collective with a shared vision to bring health and wellness on chain by building the ultimate playground at the intersection of sports and culture. Our community believes in using these sports and cultural experiences to unify the masses, and make sure that underrepresented communities are not being left behind. We believe that our diversity is our biggest strength, and we strive to leverage our unique perspectives to relentlessly push boundaries. 


Our shared belief system is what unifies our community, which consists of athletes, artists, musicians, founders, investors, and creatives. It is in the Tech Runs DNA to marry profits with purpose, and Web3 is our means to achieve this shared goal. Our connective tissue is strengthened each time we invest in each other, push each other, and grow alongside each other. Competitive on the court, collaborative off the court. Every win is unified. 

",,0.0
varen dao,"['DeFi', 'other']","Varen - formerly YF LINK - is a DeFi swap DEX integrated with Ren bridges so as to bring assets from multiple blockchains onto Ethereum protocol trade.\n
",Ethereum,14500.0
saber dao,['DeFi'],"Protocol enabling seamless cross-chain liquidity exchange
",Ethereum,83900.0
blockapescissors dao,['other'],"Block Ape Scissors is a WEB3 Blockchain Gaming ecosystem and Metaverse that integrates revolutionary and unique NFTs as transferable in-game assets.
",,0.0
crypto investor agency dao,"['other', 'other', 'other']","Crypto Investor Agency is a decentralized financial payment network that rebuilds the traditional payment stack on the blockchain. It utilizes stablecoins.
",,0.0
gravityfinance dao,['DeFi'],"Trade, Earn Yield and join some of the most exciting projects coming to Polygon through our Launchpad.
",,0.0
lostsouls dao,"['DeFi', 'Protocol']","DAO for the ‘Lost Souls’ who are dying to contribute to DeFi
",Ethereum,0.0
yolorekt dao,['DeFi'],"Decentralized short-term prediction exchange
",Ethereum,19300.0
loot dao,['Gaming'],"Unfiltered, uncensorable building block for stories, experiences, games, and more, in the hands of the community, at no cost
",Ethereum,167600.0
samotclub dao,"['Protocol', 'Social']","An #NFT Club that introduces amazing Latin American artistic style.
",Ethereum,9700.0
betswirl.eth dao,['other'],"Online cryptocurrency gaming platform, fully decentralized and anonymous, where everyone enjoys a fair play.
",,0.0
colony dao,"['DeFi', 'Investment']","Community-driven avalanche ecosystem accelerator powered by Colony’s CLY token
 Colony is a community-driven accelerator, evolving into an inclusive DAO, designed to boost Avalanche’s ecosystem growth, while returning value to CLY token holders
",,0.0
hopr  dao,"['DAO Tools', 'Protocol']","A privacy-networking protocol able to communicate and transfer messages securely
",Ethereum,29900.0
hinata dao,"['Social', 'Protocol']","The first anime NFT DAO
 The world’s first Web 3.0 e-commerce hub fueled by a Decentralized Autonomous Organization (DAO). The Hinata DAO has been established to support quality content creators and incubate a platform suited for the future of collectibles, metaverse tokenization and blockchain gaming. Everyone is invited to join our mission as a member and participate in Hinata governance and development.
",Solana,25100.0
antidote dao,['Social Impact'],"AntidoteDAO is an Altruistic Web3 DAO Dedicated to Funding Various Cancer Initiatives
 In traditional business models, companies are highly centralized and investors have little say in the future of those organizations. Typical charities also have high overhead costs and don’t allow you to decide what your money is funding. As Antidote moves to a DAO (Decentralized Autonomous Organization) framework, investors will have equal governance in how we operate and what we fund. We will begin with a more centralized structure and become gradually more decentralized over time. DAOs are not only companies but also communities. A higher level of collaboration and communication can be achieved through blockchain technology. We have the capability to be more successful and have a larger impact in the cancer research space than any traditional charity. Our goal isn’t to fund other nonprofits, but we’ll find them strategically to raise awareness of what we’re doing. Our ultimate goal is to seed fund new research that doesn’t have the funding opportunities elsewhere
",Ethereum,2300.0
hifi finance dao,['DeFi'],"Hifi is a fixed-rate, fixed-term lending protocol.
 The Hifi Ecosystem is a collection of exciting new projects and partnerships that build upon and integrate into Hifi’s lending protocol. The ecosystem enables us to accelerate our rate of experimentation and represents new opportunities to expand our reach. The ecosystem has the single objective of driving usage, TVL, and new users to our lending protocol.
",,0.0
near dao,['Protocol'],"Decentralized application (dApp) platform and Ethereum competitor
",Binance,802700.0
gyroscope protocol dao,['other'],"Setting the bar for digital currency. Reinventing stablecoin architecture and risk control.
",,0.0
arca dao,['Protocol'],"Arca DAO’s community is developing and expanding the Arweave ecosystem, project and network.
",Binance,0.0
dopedao,['Gaming'],"The Dope Wars community is producing one of the first play-to-earn crypto games on the Ethereum, Optimism, and StarkNet blockchains, inspired by the classic TI-83 game we played instead of doing math homework
 Our DAO is the governing body that controls the direction of Dope Wars’ development. Official Dope Wars Projects must be blessed by the DAO to be included in our world. Generally, this means that a Proposal is drafted by an NFT holder. Other holders discuss, then vote on the said-Proposal according to a set of rules, and then finally actions are taken as an outcome of the process.
",Ethereum,7800.0
defiland dao,['Gaming'],"Multi-chain agriculture simulation web-game created to gamify decentralized finance
",Solana,201000.0
magic internet 🧙🏼‍♂️ dao,"['DeFi', 'Investment']","A spell book that allows users to produce magic internet money ($MIM) – a stable coin that users can swap for any other traditional stable coin
",Ethereum,121900.0
maple finance dao,"['DAO Tools', 'DeFi', 'Social', 'Venture Capital']","Institutional capital marketplace powered by blockchain technology
",Solana,27300.0
dogedao,"['Social', 'DeFi']","Doge Dao is very giving and is designed to reward long term holders. Community is first and foremost. Doge Dao is proud to provide transparency and fairness to the community. $DDOGE is a decentralized crypto network that is earned, owned and governed by the community from the outset
",,0.0
euphoria dao,"['other', 'other', 'other', 'other']","A multi-product DeFi cross-chain protocol.
",,0.0
filecoin foundation dao,"['Social', 'Protocol']","Independent organization that facilitates governance of the Filecoin network and supports the growth of the Filecoin ecosystem and the decentralized web
",Ethereum,48800.0
maskeddao👺 dao,"['Collector', 'Investment', 'DeFi', 'Venture Capital', 'Social Impact', 'Media', 'Metaverse']","Push forward the idea of investing in NFT’s as valuable assets by implementing groundbreaking ideas using them
 MaskedDAO is a web3 organization whose purpose is to push forward the idea of investing in NFTs as valuable assets by executing groundbreaking concepts while at the same time sharing the revenue of these concepts to the MaskedDAO members through the NFT they hold.
",Polygon,0.0
sharkdao,['Investment'],"Pooled capital to buy noun NFT’s
",Ethereum,12700.0
grape dao,['Social'],"Guarantee the success of Grape by harnessing and coordinating the incredible power of our community’s effort, ability, and potential.
",Solana,29000.0
copper dao,"['DAO Tools', 'other']","Digital asset infrastructure developed in partnership with pioneering institutions
",,0.0
linksdao,['Social'],"LinksDAO is creating the modern golf & leisure club. A global community of thousands of enthusiasts has come together to create one of the world’s greatest golf clubs - and reimagine the country club.
",Ethereum,55100.0
flower dao,['Social'],"DAO buying flower-related NFTs
",Ethereum,0.0
juicebox protocol dao,"['Protocol', 'Social']","Programmable treasury for community-owned Ethereum projects
",Ethereum,29300.0
moloch dao,"['other', 'other', 'other', 'other', 'other']","MolochDAO is focused on funding Ethereum development in the name of Moloch, the God of Coordination.
 MolochDAO is a Decentralized Autonomous Organization, deployed on Ethereum mainnet. Members contribute capital with the sole intention of giving it all away to fund Ethereum infrastructure as an essential digital public good.
",Ethereum,13100.0
1hive dao,['Social'],"DAO that issues and distributes a digital currency called Honey
",Gnosis,17100.0
daosquare dao,['Investment'],"Youth Explore Web3
 We believe in DAO because it leads us to find those like-minded people and realise each other’s dreams together.
",Ethereum,32100.0
meanfi dao,"['Investment', 'DeFi']","A self-custody, permissionless & trustless bank bringing crypto & DeFi to everyday banking
",Solana,81200.0
dxdao,['DeFi'],"Bringing Decentralization to DeFi.
 Established in May of 2019, DXdao is a highly-scalable decentralized autonomous organization focused on developing and governing protocols and dApps in the DeFi ecosystem.
",Ethereum,11600.0
gsr dao,"['other', 'Protocol', 'DeFi']","Global leader in digital asset trading and market making
",Ethereum,9300.0
the cult dao,['Collector'],"The CULT DAO (CuID) is more than a collection of curated artwork, we are a community of NFT enthusiasts in which owners can capitalize on investment opportunities across the crypto universe
 The CULT DAO (CuID) is more than a collection of curated artwork, we are a community of NFT enthusiasts in which owners can capitalize on investment opportunities across the crypto universe. Ownership of one (1) CULT DAO NFT serves as an entry ticket to the CULD Community and equates to one (1) vote in community held votes. Secondary marketplace royalties finance the DAO’s treasury, and these funds are used to invest in stringently researched NFTs, Cryptos, and metaverse assets. These opportunities, which can be presented by any owner, are reviewed and presented to the community, where CULT DAO NFT owners will decide – through voting – which projects should be bought/sold/held. Please join our discord server and see what this amazing community has to offer!
",,0.0
divine dao,['Gaming'],"We’re building DivineDAO because we believe that the LOOT ecosystem needs infrastructure and community built around more effective, focused decision making that also respects the philosophies of decentralization and accessibility.
",Ethereum,2100.0
toon dao,"['Collector', 'Social']","Providing immediate utility to holders of the collection via giveaways (NFT, Merch, Toys, Prints, etc.) and funding YOUR projects from within the community to further develop the Toon Squad brand and IP
",Ethereum,17800.0
universal market access dao,['Protocol'],"A decentralized financial contracts platform built to enable Universal Market Access—UMA
",Ethereum,88100.0
dfx dao,"['DeFi', 'Protocol']","A decentralized FX protocol optimized for stablecoins
",Ethereum,12200.0
outlier ventures dao,"['Venture Capital', 'Investment', 'Media']","Venture platform that supports the development and growth of emerging technologies
",Ethereum,30800.0
marginswap dao,"['DeFi', 'DAO Tools']","On-chain spot and margin trading protocol for crypto assets
 Marginswap is a decentralized trading protocol that natively supports spot and cross margin swapping of assets on AMMs like Uniswap and SushiSwap. Using marginswap, you can trade a wide variety of tokens, much like you already do on existing protocols, but with leverage.
",,0.0
lend flare dao,['DeFi'],"Lend Flare allows $CRV investors to borrow against $CrvLP with a fixed borrow rate and no concern for liquidation due to price fluctuation
 Lend Flare is a decentralized borrowing platform on Ethereum blockchain that allows Curve LP holders (the borrowers) to draw fixed-rate, fixed term and high LTV loans against Curve LP tokens used as collaterals, with no concerns for assets being liquidated due to price fluctuation. Loans are paid out through Lend Flare from Compound platform. Liquidity providers (the lenders) who deposit loan liquidity through Lendflare on Compound platform will receive one of the highest interest rate compared to other current lending platforms.
",Ethereum,3300.0
hashflow dao,['DeFi'],"Decentralized settlement layer built on Ethereum to enable the development of the next generation of hybrid exchanges
",Ethereum,182700.0
union finance dao,['DeFi'],"UNION is the cornerstone of full-stack protection, reducing the risks and costs of DeFi.
 UNION Finance is a non-KYC peer-to-peer permissionless protection marketplace that allows users to limit their risk in an active DeFi strategy. Users can either Buy Protection from downside risk/event risk, or Fund Liquidity to collect premiums. UNION’s state-of-the-art protocol has capabilities to secure multi-layer risks across smart contracts and protocols in one scalable system.
",Ethereum,4400.0
stakehaus dao,['Protocol'],"STAKEhaus governs STAKE - the validator token for the xDai blockchain, which became the Gnosis Beacon Chain.
 STAKEhaus is a DAO by and for the xDAI community. Contributors earn STAKE and STAKErs can contribute.
",Gnosis,55800.0
harvest finance dao,"['DeFi', 'Investment']","An international cooperative of humble farmers pooling resources together in order to earn DeFi yields
",Binance,80900.0
universe dao,"['Collector', 'Gaming', 'Social', 'Media']","The native governance token that controls the xyzDAO and the Universe Protocol
",Ethereum,30400.0
polar nodes dao,['other'],"Our mission is to make you collect NFTs nodes which will provide you with Games Rewards. The first fully decentralized node protocol to become.
",,0.0
80acres dao,"['DeFi', 'Investment', 'other']","Build ideas of the blockchain on real land
 80Acres is a token created on the Algorand Blockchain. As a DAO token, we are able to harness the creativity and collected resources of the community to build something real on 80 acres of land located in Oklahoma. Through voting, these ideas are brought into the implementing stage and funding stage. The profits generated from the projects are shared to the token holders.
",,0.0
moonbeam dao,['Protocol'],"Ethereum-compatible smart contracts on a Polkadot parachain
",Ethereum,353000.0
guild dao,['DAO Tools'],"No code tool for token-gated Discord
",Ethereum,37400.0
gearbox dao,"['Investment', 'DeFi']","Gearbox Protocol allows anyone to get leverage in a decentralized way and use it across various other protocols in a composable way: margin trading, leverage farming, and more!
 Unique features of Gearbox Protocol
Other protocols can offer leverage to their users with the help of Gearbox Protocol, without modifying anything in their own architecture. As such, they also get exposure to the user base of Gearbox.
Positions and trades within Credit Accounts can be extended to include complex strategies, for example, making a short position farm in Yearn; or having LP tokens as collateral for more composable actions.
The leverage offered is not based on synthetic positions but instead is executed with real assets on third-party protocols. Because Gearbox does not create its own trading pairs, there is no short-long ratio that needs to be maintained with funding rates.
",Ethereum,14800.0
retoken dao,"['other', 'other', 'other', 'other']","A community 1st approach to RealEstate Tokenization
",Polygon,0.0
stoner cats dao,"['other', 'other', 'other']","An adult animated short series centered on five house cats who mysteriously become sentient
",Ethereum,33100.0
safu.net (dao) dao,"['DeFi', 'Investment']","SAFU.NET aim is to bring a series of tools for the BSC ecosystem including a DEX, smart contract code scanner, liquidity lock and more.
",Binance,5000.0
frog nation dao,"['other', 'other', 'other', 'other']","In $FRG We Trust.
",,0.0
zora dao,"['DAO Tools', 'Protocol']","The NFT marketplace protocol
",Ethereum,94000.0
xdai dao,['DeFi'],"Stable payments blockchain designed for fast and inexpensive transactions secured by $STAKE governance tokens
",Ethereum,4700.0
neustreet dao,['Media'],"Destination for media, data, and analytics on collectibles
",Ethereum,1300.0
inverse dao,['Protocol'],"The Inverse protocol makes a lending-borrowing market that leverages its pooled liquidity accross DeFi via a combination of non-synthetic and its own, stabalized, synthetic tokens.
",Ethereum,28100.0
elfdao,"['other', 'other', 'other', 'other', 'other']","The first-ever Web3 toy drive 🎄🎁
 Here at elfDAO, we are elves - the workers, builders, and contributors of holiday cheer. We elves see the activity of gift-giving as one of the best ways to use our platform to share cheer to children. And we’re sick of seeing “Santa” never show up for children less fortunate.
That’s why we’ve created elfDAO - to fund, organize, and donate gifts to institutions, orphanages, and low-income neighborhood centers bring holiday joy to as many children as possible.
",,0.0
yearn finance dao,['Protocol'],"#DeFi made simple. Learn & Build: http://docs.yearn.finance Contribute @ Yearn: https://yearnfinance.notion.site/Join-Us-3e9c95b9bd7846a18c0f1cbe6ab05eda…
 Yearn Finance is a suite of products in Decentralized Finance (DeFi) that provides yield generation, lending aggregation, and more on the blockchain. The protocol is maintained by various independent developers and is governed by YFI holders.
",Ethereum,226600.0
dharma dao,['DAO Tools'],"The Ethereum Wallet That Connects To Your Bank
",Ethereum,42200.0
modadao,"['Entertainment', 'Collector', 'Social']","MODA is creating the tools, communities and infrastructure for the future of music.
",,0.0
informal systems dao,"['Protocol', 'other']","Cooperatively owned organization building technology that enable verifiable, trustworthy, and fair relationships between protocols and people
",Ethereum,6100.0
doomsdayx dao,"['other', 'other', 'other', 'other']","DOOMSDAYX is a platform for artists and fans, focused on redefining culture on-chain.
",,0.0
jade protocol dao,['other'],"Jade Protocol is a decentralized PoL VC fund, backed by a perpetually rising price floor. Powered by Binance Smart Chain.
",,0.0
glmr apes dao,"['other', 'other', 'other', 'other']","1001 GLMR Apes caring about bananas and chilling out together on Glimmer. 1st SOLD-OUT NFT collection ever on MoonbeamNetwork.
",,0.0
planckcat dao,"['other', 'other', 'other', 'other']","PlanckCat DAO is the community of contributors to Overlay Protocol, a community owned protocol for trading limitless markets.
",,0.0
metabrands dao,['Metaverse'],"Creating a thriving Metaverse Resource DAO that allows instant exposure to the top-performing NFTs, play-to-earn models, and player-owned economies
",,0.0
hungry pandas dao,['Collector'],"10000 pandas NFT collection
",Ethereum,3400.0
wizardsdao,"['other', 'other', 'other', 'other']","Our goals are to have fun, make homies, and proliferate the Wizards brand.
 WizardsDAO is a decentralized community of builders, artists, memers, and crypto enthusiasts. The Wizards create the future of the Wizards brand. Everything is up to them.
",,0.0
gcr dao,['other'],"Developing EU central banking blockchain protocols
 Gold Coin Reserve (GCR) is a tradable digital asset that is pinned to the price of 1 troy oz of gold. The GCR digital asset that sits at the core of the new GCR Network has a proof of stake function that allows wallet holders to mine the asset at a 10% annual return.
",Ethereum,34700.0
abachi dao,"['DeFi', 'DAO Tools']","Building the rails to bridge DeFi and TradFi
",,0.0
adamant dao,['DeFi'],"The #1 Auto-Compounder and Yield Optimizer for  @0xPolygon  and  @arbitrum
 Adamant is a non-custodial yield optimizer platform that provides users with an easy and safe way to maximize their yield farming income.
",Polygon,6200.0
beacons dao,"['DAO Tools', 'Social']","Mobile website builder for creators on Instagram and TikTok, with e-commerce and monetization
",Ethereum,1500.0
ethereum name service dao,"['other', 'other']","Mapping human-readable names to machine-readable identifiers such as Ethereum addresses, other cryptocurrency addresses, content hashes, and metadata.
",,0.0
kyberdao,"['DeFi', 'Social']","A community platform that allows KNC token holders to participate in governance
",Ethereum,15200.0
edge & node dao,['DAO Tools'],"Creating and supporting protocols and dapps in the DeFi and web3 ecosystem
",,0.0
empty set dao,"['DeFi', 'Social']","Empty Set issues a decentralized, community-owned, collateral efficient stablecoin.
",Ethereum,5900.0
govrn dao,['Social'],"Implement outcome based governing system
",,0.0
gro protocol dao,['DeFi'],"A stablecoin yield aggregator that tranches risk and yield
",Ethereum,23300.0
sneaky vampire syndicate dao,['Social'],"A collection of 8,888 unique Sneaky Vampires living in the lair
 The Sneaky Vampire Syndicate (SVS), from its launch in 2021 has accomplished many great things, and even completed its first initial roadmap within 2 months from mint. We introduced staking into our ecosystem very early on into our NFT journey, and yielded those who staked $BLOOD as a reward for staking both their Vamps and Bats!
",Ethereum,151600.0
spacemesh dao,"['Protocol', 'Social']","Open-source programmable cryptocurrency
",Ethereum,10300.0
bayc dao,['Collector'],"Collection of 10000 unique Bored Ape NFTs
",Ethereum,1200000.0
